title,summary,can_read
Cairo and its environs.,"Lamplough, an English architectural painter, concentrated on North African scenes from early on in his career. Lamplough traveled from Alexandria to Aswan, but concentrates on Cairo in this book. The streets, shops, and Europeans in Egypt are his main subjects. “Everything along the road that leads to Old Cairo and Roda Island emphasizes the climax of destruction and modernity in Cairo,” p. 52. The illustrations by Lamplough (colored prints from paintings) are interesting, but the text only average. Lamplough also illustrated Julian Viaud’s La morte de Philae (q.v.); as well as a guidebook to Egypt, Egypt and How to See It (1907).",true
"Cinq mois au Cairo, et dans la Basse Egypte","“Lorsqu’on quitte le Caire apres un sejour de plusieurs mois, on eprouve une impression de profonde tristesse,” p. 355. An excellent, detailed account of Cairo; Charmes also includes Alexandria, Ismailia, and Port Said in his account.",false
"Coins d’Egypte ignores. Paris: Plon-Nourrit et cie, 1905. 303 p.","Visiting out of the way places in Egypt, Gayet, an archaeologist, sees such sights as convents and monasteries not usually seen by tourists. Unfortunately, they are not visited for a reason, they are a bit dull.",false
Correspondence Ten months on the wing.,"""Cairo is a fine modern city in many ways, but dirty,"" p. 76. On an around-the-world trip, Poe stops briefly in Port Said, Alexandria, and Cairo before going on to the Holy Land. She sees the usual sights.",false
Court life in Egypt. 2d ed.,"Going to Egypt as the tutor to the sons of the Khedive, Butler saw all the usual sights from the unusual angle of a member of the Egyptian court. Butler includes—or so he claims— transcriptions of his conversations with the Khedive in which Butler seems to have been an important factor in the foreign policy of Egypt. “But my time in Cairo was drawing to a close. . . . The Khedive’s farewell to me was most touching in its heartfelt kindness: and to me it was a real sorrow to part from him and from the little princes. Like all who have ever been in the personal service of the Khedive, I retain for him a feeling of loyal devotion, and I have no patience with the ignorant malice of those in England who slander him,” p. 297. Illustrated with photographs.",false
Cruise to the Orient.,A rather dull. Biblically-oriented account of Alexandria and Cairo. Illustrated with photographs.,true
Cruising in the Orient.,"On an around-the-world cruise, the US Warship Juanita visited Egypt. Parts 4 and 5 cover Egypt and the Suez Canal area.",false
Daily notes of a trip around the world.,"""One sees queer sights in the dining-room of a big tourist hotel. At dinner this evening, at the Ghezirah Palace, a girl came into the dining-room dressed as a child of three, with a very short dress, and bare legs. She was fat, and certainly fifteen years old,"" p. 185-86. Howe, editor of the Atchinson Globe, visits the sights around Cairo, Port Said and the Suez Canal, giving a very readable, entertaining account, much of which is the description of his fellow tourists.",true
"Days in the East; or, Random recollections of Greece, Palestine and Egypt.","Rector of Trinity Church of Oshkosh, Greenwood, coming to Egypt from the Holy Land, makes a brief stop in Port Said, Cairo and Alexandria. Basic account.",true
Der Orient,"A basic, guidebook-like account of Suez, Alexandria, Cairo, Luxor,the Nile to Aswan and Wadi Haifa. Illustrated.							",true
"description of religious and social conditions in Palestine and Syria, personal missionary experiences, and a discussion of missionary methods.","A very brief account of Egypt (Alexandria and Cairo — skipping the Pyramids), as Smith goes on to visit the Holy Land. Illustrated with photographs.",true
Diary of a trip abroad in 1914: when all the world was at peace and every nation loved the United States of America.,"A very basic account of the sights in Alexandria, Cairo, and Luxor. Traveled with Mrs. McGillivray and Mrs. Cosgriff. Illustrated with photographs.",false
Die Yankeedoodle-Fahrt: neue Beitrage zur Kiinst des Reisens.,"Bierbaum, a German man-of-letters, visited Alexandria, Cairo, and Luxor. This interesting account contains his journals as well as letters home. Illustrated with photographs and caricatures.",false
Dog fennel in the Orient.,"“We may live without food; we may live without books, But civilized man cannot live without Cooks,” p.ll The above couplet is a good example of Moore’s irreverent account of his brief tour through Alexandria and Cairo. A fun-filled and lively telling of the usual sights.",true
Down the stream of civilization.,"A cute account of Alexandria, Cairo and the Nile to Aswan. The author gives his fellow travelers names such as ""Rich Banker,"" ""Jacko,"" and ""Literary Failure.""",true
Dr earns of yesterdays (in the Orient).,"A basic, touristical account of Alexandria, Cairo, and the Nile to Luxor. Illustrated with photographs.",false
"Drei jahre in der Libyschan wiiste: reisen, entdeckungen und ausgrabungen der Frankfurter Menas expedition ( Kaufmannsche Expedition).","A detailed, though dry account of Falls' trip with a scientific expedition (the Menas Expedition or Carl Maria Kaufmann Expedition) through the Libyan Desert. Also visits Alexandria, the Natrum Lake area, and Siwa. Illustrated with photographs.",false
"Due west; or, Round the world in ten months.","On an around-the-world trip, Ballou makes a stop of a week in Cairo. The usual sights, but with some interesting observations: ""There is no genius evinced in the design or execution of the pyramids. Neither art, taste, nor religion are in any way subserved by these unequaled follies. Nothing could be ruder: there is no architectural excellence exhibited in them; they are merely enormous piles of stone,"" pp. 265-66 (b). NOTE: Footprints of Travel is essentially the same text as Due West, with engravings added.",true
Echoes from foreign shores: letters from Bible lands for children.,"Written for children, this account of Stanton's trip through Alexandria, Cairo, Luxor and the Suez area is well-done. Illus- trated with photographs.",false
Egipet.,Andreevskii visited Egypt from Alexandria to Aswan. Illus- trated with photographs and others.,false
Egypt (La Mort de Philae) by Pierre Loti; translated from the French by W.P. Baines; with eight illustrations in colour by A. Lamplough.,"hip! hurrah . . . Oh! Teffet de profanation grossiere et imbecile que cause ce hurlement de la joie anglaise, a I'instant oil nous penetrions la, le coeur serre par tant de vandalisme utilitaire!,"" p. 349 (1924 edition).",false
Egypt in 1898.,"""The nominal suzerain of Egypt is the Sultan; its real suzerain is Lord Cromer. Its nominal Governor is the Khedive; its real Governor for a final touch of comic opera, is Thomas Cook & Son. Cook's representative is the first person you meet in Egypt, and you go on meeting him,"" p. 68. With mixed feehngs about the English presence in Egypt, Steevens gives an account of Egypt from Ismailia and the Suez, and Alexandria to Wadi Haifa. An interesting account.",true
Egypt in transition.,"Great account from a British point of view of the political and economic situation in Egypt on the verge of WWI, but one that never forgets the Egyptian viewpoint. Includes an excellent introduction by Lord Cromer. Still, Low does not totally forget the purpose of his book, and gives a fascinating account of Egypt: ""Egypt, then, for a certain number of weeks in the winter is a tourist land, and such, under all political and social vicissitudes, it is hkely to remain. Whether this is wholly an advantage to the country may be doubted. The visitors bring in some money, but only a small portion is left to 'fructify within the pockets of the people.' Perhaps two millions sterling are spent in Egypt each year between December and March. But of this same the greater part goes to the tourist agencies, the steamship companies, and the great hotels,"" p. 146. Includes portraits of the leading figures in Egypt at the time.",true
Egypt of yesterday and to-day.,"A good, basic account of the antiquities of Egypt (including a very good section on the temple at Philae: ""All around, in every direction, is havoc and loss. The noble east and west colonnades, which formed the approach from the water-side to the entrance of the temple, are sunk nearly to their capitals; the gateway of the Emperor Hadrian with its sculptured records, is half submerged; and, further away, the temple of Augustus is buried to the roof,"" p. 187). The book does not have much on the present; however, there is a chapter on the health benefits of Egypt. Withers traveled from Cairo to Wadi Haifa. Illustrated with photographs.",true
Egypt through the stereoscope; a journey through the land of the Pharaohs.,"Breasted, the famous American Egyptolgist, frequently visited Egypt for many years. Text and maps to accompany stereoscopic views of Egypt from Alexandria to Aswan. Photographs from Underwood and Underwood (q.v.).",false
"Egypt, Burma and British Malaysia.","A not very personal, though very detailed account of the author's trip from Port Said to Cairo and up the Nile to Wadi Haifa and on to the Sudan before continuing on to the Far East. ""There are disappointments in store for everybody who visits Egypt. For example, there are no crocodiles in the Nile,"" p. 139.",true
"Egypt, painted and described.","An illustrator for Century Magazine among others, Kelly describes, through both words and several reproductions of his own paintings, the entire length of Egypt. A compilation of experiences from several trips by Kelly, this is an entertaining book as he picks out scenes of local color as well as the obligatory antiquities. Includes a final chapter on the conditions of the people of Egypt.",true
"Egypt, Palestine, and Phoenicia. A visit to Sacred Lands. Translated from the 8th French edition by Rev. Canon Lyttelton. With a sketch of the author, by Professor Godet",No info. CITED IN HILMY.,false
"Egypt, the land of the temple builders.",A very travel-bookish work as Perry describes the area from Alexandria to Aswan. Very little personal narrative. Illustrated.,true
"Egypt, the Sinaitic Desert, and the Holy Land.","A fun, chatty account illustrated with marvelous photographs taken by William Agate. Told in the form of journal entries, Agate tells of their trip from Alexandria to Wadi Haifa, and then of the trip on to the Holy Land. Filled with the daily goings-on back in England and wondering as to what is going-on with their children: ""This is the sixteenth anniversary of our wedding day, and I am sure we little dreamed, even twelve short months ago, that this year would see us in Egypt, starting early in the morning under the bluest of blue skies, clad in the thinnest of thin things, from Assouan to Philae, there to get the boat for Wadi Haifa!,"" p. 87. Also includes Agate's account of their visit to the HeUopolis ostrich farm.",false
Egypt.,"A less detailed and interesting book than Kelly's earUer effort. Not a repetition of the earlier work, but it is unclear if it is describing another trip. Illustrated with paintings.",true
"Egypt: ancient sites and modern scenes. Translated by Elizabeth Lee; with seventeen illustrations. London: T.F. Unwin, 1910. 330 p.",b.    The English edition is illustrated with photographs.,false
"Egypt; three essays on the history,","Three essays, written in conjunction with his niece, Minna (Timmins) Chapman, that deal with the history, religion, and art of Egypt. The essays deal almost exclusively with these subjects, though there is some description of travel in Egypt. Illustrated.",false
Egyptian aesthetics.,"After a history of Egypt, Francis concentrates on the traits of the ancient Egyptians that led them to develop the artistic/aesthetic sense that they did. Traveling from Alexandria to Wadi Haifa, with side trips to the Fayyum and the Sinai, she writes a fascinating book. ""Wadi Haifa itself is nothing. There is a grubby Soudanese village, and there are a few ancient tombs in the hills to the east. The rest is all flat sand around the town buildings, haunted by low-flying vultures,"" p. 264.",false
Egyptian days.,"A book in two parts. The first part is a basic, professional, ""tour book"" account of Egypt. The second part, is the journal of Marden on his travels from Alexandria to Aswan. The first part, with facts and figures, is quite dull; the second, much more personal, is more interesting: ""Some people will be so unkind as to tell you, no doubt, as they told us, that the so-called Assiut shawls are made in Vienna, or in Connecticut. But why believe that? Do they not look truly Oriental? Are they not, at all events, sold in Assiut?"" p. 213. Illustrated with photographs.",true
Egyptian sketches.,"Living in Cairo for a few months. Lynch believes himself an expert on things Egyptian. Including a long account of life in Cairo (weddings, the English presence — of which he has a good opinion), and his trip up the Nile to Luxor. A good account of an American in Cairo in the late nineteenth century (""My principal business between midday and three o'clock was to try and keep cool. Every native sleeps during those hours, but it is impossible for the stranger,"" p. 4. Illustrated with photographs.",true
Eight journeys abroad.,"A native of Philadelphia, Rosengarten wrote a number of chatty letters to her family from Egypt. Her output was your basic letters from Egypt, unadorned with fancy prose or thoughts. The best part of the book are the “snapshot” photographs of Rosengarten at various sights in Europe and Egypt.",true
Eine Orient-Reise.,"A detailed description of the sights in Alexandria, Cairo and Port Said. Not very long. Himmel was a major in the Rumanian Army when this account was written.",false
Eine Orientreise.,"Visiting Port Said, Cairo, Luxor, the Nile to Aswan and Alexan- dria, Gotz gives a basic description of the usual sights. Illustrated with photographs and colored pictures.",false
Eine weltreise. Plaudereien aus einer zweijahrigen erdumsegelung Neuer abdruck,"On an around-the-world trip, Meyer visited Suez, Cairo, the Nile to Aswan, and the Red Sea. A detailed account of the basic sights. Illustrated.",false
Eines arbeiters weltreise.,"On an around-the-world trip, Kummer visited Cairo and Port Said. A very brief account, mostly about the Suez Canal. Illustrated with photographs.",false
"En Egypte, notes de voyage.",No info. CITED IN MET. CAT.,false
"En Egypte. Le Caire, Alexandrie — les pyramides.","No info. CITED IN WILBOUR (visited Alexandria, Cairo and Suez).",false
En Egypte: notes et croquis d’un artiste,,false
En vinter pa Nilen af Claes Lagergren.,No info. CITED IN WILBOUR.,false
Encircling the globe.,"On an around-the-world trip, Wheeler stopped briefly in Egypt (Port Said, Cairo), staying only two days in Cairo to see the Pyramids. Traveled with his wife. The Wheelers had visited Egypt before in 1905 (qv.). Illustrated with photographs.",true
"Ex-mayor Daniel F. Beatty' s tour of the world, embracing Europe, Asia, Africa, Australasia, Polynesia and America.","On an around-the-world trip, Beatty, owner of Beatty 's Organs and Pianos and ex-mayor of Washington, NJ, made a brief visit to Cairo and the Sinai before continuing on to the Holy Land.",false
Experiences of Mr. and Mrs. Patrick Cudahy on a journey to a portion of the oldest historical parts of the world during the first four months of 1906.,"A basic, but endearing little account of Egypt (Alexandria, Cairo, Luxor, and Port Said). Illustrated with photographs.",false
Extracts and sketches from my journal of a year's travel in the Orient and Europe.,"Basic account of Alexandria, Cairo and Luxor. Brief. Illustrated with pen drawings by Frederick M'Allister from photographs by the author.",true
"Extracts from the letters, diary and note books of Amasa Stone Mather June 1907 to December 1908.","Traveling from Cairo to Aswan as part of his around-the-world trip, Mather gives a brief, disinterested, account of Egypt, told in letters home. Illustrated with photographs.",true
"Fellow travellers; a personally conducted journey in three continents, with impressions of men, things and events.","On an around-the-world trip, Clark, president of the World’s Endeavor Union, visited Egypt. Gives description of the World’s Endeavor Union missions in Egypt. “The oldest civilization in the world and the youngest Christian organization in the world have met together; Egypt and Christian Endeavor have kissed each other, to accept the Oriental imagery of this country,” p. 85.",true
"First American Catholic pilgrimage to Palestine, 1889.","Traveling in a large group of American Cathohcs to the Holy Land, Pfeiffer visits Alexandria, Cairo, Ismailia, the Suez Canal and Port Said. In Cairo, they meet with the Khedive. A basic, simple account.",true
Five months in Cairo. Translated by William Conn.,,false
Fodture i /Egypten og Palastina.,"Visited Alexandria, Cairo, and Port Said. Illustrated with photographs. UNREAD.",false
"Foot-prints of travel; or, Journeyings in many lands.","On an around-the-world trip, Ballou makes a stop of a week in Cairo. The usual sights, but with some interesting observations: ""There is no genius evinced in the design or execution of the pyramids. Neither art, taste, nor religion are in any way subserved by these unequaled follies. Nothing could be ruder: there is no architectural excellence exhibited in them; they are merely enormous piles of stone,"" pp. 265-66 (b). NOTE: Footprints of Travel is essentially the same text as Due West, with engravings added.",true
Footprints of a Black man: the Holy Land.,"A fascinating account by visitor to the Worlds' Fourth Sunday School Convention in Jerusalem. In Egypt, Brooks visited Alexan- dria, Cairo, the Sinai and Luxor. Illustrated with photographs.",false
Footprints of Jesus in the Holy Land.,"A much enlarged and detailed version of the above account, illustrated with photographs.",false
"Foreign letters,","Underbill, a well-known newspaperman was the editor of the Steuben Farmers' Advocate (as well as the paper under its various other incarnations). This volume is a collection of his letters cut from the paper and mounted on sheets, written to the paper during his trip to Egypt (Alexandria, Cairo, Luxor, and the Nile to Aswan). An interesting account.",true
Forty thousand miles over land and water.,"Stopping in Cairo and Suez on an around-the-world trip, Vincent mentions the Sudan Crisis of 1884, but only in a brief account. Illustrated with engravings.",true
Fotturer i y€gypten og Palestina.,UNREAD. Includes more illustrations.,false
Fra Nilen til Himalaya. Med mange illustrationer.,No info. CITED IN HILMY.,false
From America to the Orient.,"A large party of Americans, over 20, traveling under Honeyman, toured throughout Europe and Egypt. This volume is composed of their accounts. Part of a series Honeyman put out after his tours (""The contributors to the volume are not as a rule professional writers, but, perhaps, all the more will it be found that their style has a refreshing directness and individuality not always met with in similar books,"" p. i), and thus the quality of each chapter varies with the talent of the writer who wrote it. Chapters 25-31 cover Egypt and are written by Honeyman, Finley Acker (q.v.), and Rev. William R. Richards. Covering topics such as ""The Streets of Cairo,"" by Acker; ""At Ancient On,"" by Honeyman; ""The Tomb of Tih,"" by Richards; and ""A Bedouin Festival,"" by Acker, the subjects are quite varied. An interesting book primarily for its format. Includes photos of the travelers at the various sights.",true
From Cairo to the cataract.,"Witty book, full of details and stories from Carson's travels from Port Said, to Cairo and on to Aswan. She sees the usual sights, and comments on her fellow travelers: ""Apropos of harems: An amusing incident happened to Mr. and Mrs. Gorham and their friend, Miss Cox, guests at our hotel. They were told that one passport would suffice for all three on their recent trip through Palestine. Later they discovered on examination that it was made out in the true Oriental fashion: 'Gorham Pasha and harem,' which resulted in somewhat mixed feelings in the whole trio as to just who was who,"" p. 36. Illustrated with photographs.",true
From Cairo to the Soudan frontier.,"Traveling to every corner of Egypt, Traill writes a readable, but not very interesting account of Egypt, that does have some interesting moments: [Concerning the Whirling Dervishes] ""So- berly devout Mohammedans no doubt look askance at both. To question what such followers of Islam think of wild fanatics a venerable Moslem replied the other day to a friend of mine, 'We think of them, sir, precisely as a sober member of your Church of England thinks of the Salvation Army,' "" p. 254. Appeared serially in the Daily Telegraph.",true
From Egypt to Canaan.,No info. CITED IN BL.,false
From Ismailia to Cairo with the 4th (Royal Irish) Dragoon Guards.,No info. CITED IN HILMY.,false
From job to job around the world.,"Working his way around the world, Fletcher worked as a sailor in Suez, making a side trip to Cairo. ""A man at the American Presbyterian Mission in Cairo told us that there were a crowd of American 'free-lovers' in Jerusalem who frequently entertained travelers,"" p. 188. Traveled with R.J. Richardson. Illustrated with photographs.",true
"From Nile to Nile Rambles of a Kansan in Europe, Palestine and Africa.","“The natives remind me forcibly of our American Indians, particularly the Sioux tribe. They are tall, lithe, and muscular, and in passing through crowds of them I felt that peculiar, flesh-creeping sensation that one cannot resist when surrounded by either Indians or Chinese,” p. 345. Stewart’s basic account of the usual sights of Alexandria, Port Said, Ismailia, and Cairo first appeared in the Wichita Daily Eagle. Illustrated.",true
From Pharaoh to fella. With illustrations by Georges Montbard. Engraved by Charles Barbant.,""" 'You shall sketch with the pencil, and I with the pen; you shall depict the Fellah, and I propound the Pharaoh; you sometimes travelling into my domain and I into your, we shall together find the happy mean.' 'And the result?' 'That we shall amuse and instruct ourselves if no one else, and add one more book on Egypt,' "" p. 4. So the self-named Scribbler Charles F. Bell proposes to the Sketcher, Georges Montbard (q.v.) that they take a trip to Egypt. Traveling from Cairo to Aswan, together they give an amusing, and often tongue-in-cheek account of a trip up the Nile. Great reading, with excellent illustrations engraved by Charles Barbant.",false
From sketch-book and diary.,"Traveling from Alexandria to Wadi Haifa, Butler gives a good, colorful account of Egypt. "". . .in my progress through this land of Arabs, I protested more or less successfully against burrowing into sepulchers, shuffling in thick gloom through pungent and uncanny mummy dust, in bat-scented atmosphere, while above-ground the blessed light of that matchless sky and the uplifting air of the desert were being wasted,"" p. 49. Illustrated with sketches by the author, some in color.",true
From the Cape to Cairo. The first travers of Africa from South to North.,A brief mention of Egypt. Illustrated with photographs.,false
From the Golden Gate to the Golden Horn A narrative of travel and adventure.,Brief account of Egypt from Alexandria to Aswan by Reddall who was on an around-the-world trip. Illustrated with engravings.,false
From the Nile to Norway and homeward,"A well-done account of the usual sights. Cuyler traveled through Alexandria and Cairo. “Egypt is the joy of us teetotalers, for cold water is king. I have seen scarcely a dram-shop, and nobody drunk,” p. 58.",true
From the pyramids to the Acropolis; sacred places seen through Biblical spectacles.,"Beginning each chapter with a Biblical quote, Talmage then sermonizes on the quotation as it relates to what he did in Egypt that day. He visited Cairo and the Pyramids (""After looking around for a while, and a Kodak had pictured the group, we descended. The descent was more trying than the ascent, for cUmbing you need not see the depths beneath, but coming down it was impossible not to see the abysms below,"" p. 32), but there is no clear itinerary of him going elsewhere.",false
"From west to east, or. The Old world as 1 saw it: being a description of a journey from California to the Holy Land and Egypt, by the way of England, France, Switzerland and Italy.","Traveling from the Holy Land, Allen made a stop in Port Said and Cairo, giving a basic account. Illustrated with photographs.",false
"General Gordon, ainsi qu'une liste des ""Voyageurs canadiens"" surnommes justement, par le capitaine Thompson: ""Les heros du Nil!"".","A fascinating account of Canadians coming to the support of the British in Africa during Gordon's campaign. A collection of letters by Labat and others (a list of those who served is included); Labat also includes an introduction that describes the conditions they met with in Egypt. "". . . . Luxor! . . Beaucoup de choses a voir, mais peu a noter. II fait nuit. Les souvenirs historiques aidant,, imitons cuvier reconstituant un mastodonte par la decouverte d'un os minuscule,"" p. 94.",true
Gennem de fagre riger—.,"On an around-the-world trip, Poulsen visited Suez, Cairo and Luxor. UNREAD. Illustrated with photographs.",false
"Genom Bibelns lander: Allman beskrifning ofver Palestina jamte reseminnen fran det Heliga Landet, Egypten Och Medelhafslan-derna.","Mellander made a brief stop in Egypt (Cairo), before continuing on to Europe after a trip to the Holy Land. Traveled with A.E. Karlson. In Swedish. Illustrated with photographs.",false
Girdling the globe From the land of the midnight sun to the Golden Gate. A record of a tour around the world.,"On an around-the-world trip. Miller visits Port Said, Cairo and Suez. Good, but brief description. Visited once before in 1893.",true
Glimpse of the unusual around the world.,"A very brief account of Randolph's trip from Cairo to Aswan, a stop on his around-the-world trip. Illustrated with photographs.",false
Glimpses around the world through the eyes of a young American.,"A pedantic (pronunciation guides are given for each country she visits), but brief, account of Egypt (Port Said, Cairo, Luxor) visited by Stein on her around-the- world trip. Illustrated with photographs.",true
Glimpses of many lands.,"""We took a trip to Alexandria one day, but as it is just a great seaport, I shall take no time to write of it,"" p. 141. Congleton, on an around-the-world trip, makes a brief stop in Egypt, visiting Port Said, Alexandria, Cairo, and Luxor.",true
Glimpses of Palestine and Egypt.,"Traveling in a group of 26 people, Warner et al. , traveled in reverse of the usual order, coming from the Holy Land to Egypt. The primary purpose of the visit was to see sights of Biblical interest. Arriving in Port Said before going on to Cairo, Heliopolis, and the Pyramids, Warner describes an amusing incident at the Port Said customs: ""At last we assembled in the dining-room to pass the medical examination. This was apparently a very formal and empty affair. As one's name was called, he passed by the doctor, who took hold of his wrist and held it for about a second and called for the next on the list. The doctor probably used his eyes to help in detecting any diseased person. The cost to each tourist for this exam was the equivalent of thirty-two cents,"" p. 193. Warner was also impressed with the irrigation system used in Egypt. Illustrated with photographs.",true
Golden adventure; a diary of long ago.,"On an around-the- world trip, Wright made visit to Egypt, traveling from Alexandria to Aswan. Not interested in her trip, but in the people with her and what was going on at home. An entertaining account. Traveled with her parents. Illustrated with photographs.",false
Golightly 'round the globe.,"""The auto's honk has drowned out the Muezzin's cry. You motor to the Pyramids, take a Martini before you climb on and crawl in them; stand up by the Sphinx with a cigarette in your mouth and have your picture taken,"" p. 157. An amusing, but brief account of Egypt as Morrill stops in Port Said and Cairo on his around-the- world trip. Morrill visited before in 1901(7). Illustrated with photographs.",true
"Gotter, Konige und Tiere in Agypten.",No info,true
"Gotter, Konige und Tiere in Agypten.","Traveling from Aswan to Cairo down the Nile, Lichnowsky gives a good, informal account of the sights, with many details on the antiquities. Illustrated with photographs and drawings.",true
"Griffin ahoy! A yacht cruise to the Levant and wanderings in Egypt, Syria, the Holy Land, Greece, and Italy, in 1881","On a Mediterranean cruise, Maxwell makes a brief stop in Egypt, covering only Cairo in his short and dull account. ",true
Hacia el orients.,"""Por mucho que el Egito halaque la fantasia son las exquisitas visiones que ofrece a la mirada asomaquel misterio porticular que de la Palestina, conmoviendo las mas desconacidas, las mas ocultas fibras que nunca habian vibrado y que tenian un secreto de dulzura muevo ..."" p. 465. Basic account of the sights in Port Said and Cairo.",false
Harems et musulmanes d’Egypte.,A detailed description of the Harem in Egypt at the turn of the century.,false
Heart and thought memories of eastern travel.,"A speedy, entertaining tour of Egypt with Holmes visiting Alexandria, Cairo, Aswan, the Suez area, and the Sinai. A very good, personal account.",true
Het land mijner vaderen Indrukken op eene reis door Egypte en Palestina.,"Visited Port Said, Cairo and Alexandria. UNREAD.",false
Historical spots of the Old world.,"Traveling to the Worlds’ Sunday School Convention of 1907 in Rome, Forster visited Egypt (Alexandria, Cairo, and the Suez area), giving a very brief, though very well done account, for a privately-printed book. “In a few hours we reach the hotel in Alexandria, Egypt, where a Mohammedan is praying in the hallway of the building. It was my first experience in a heathen land, and one long to be remembered,” [p.6 of an unpaged book]. Illustrated with photographs taken by Forster.",false
Holy Land.,"An Evangelical minister, Godbey visited Alexandria and Cairo in a brief visit, writing a touristical account.",true
How I worked my way around the world.,"Working his way around the world on a ship, Morrison stops in Egypt and visits Suez and Gairo. Includes a long description of Gairo. Illustrated with photographs.",true
"How we went and what we saw: a flying trip through Egypt, Syria, and the Aegean Islands.","A good, readable, descriptive, and fun account of Alexandria, Cairo, Luxor and the Nile to Aswan. Chatty, but informative. Of Cairo: ""Among the relics of antiquity we find are the telephone, electric light, gas, sewers, water-works, cheap cabs, pin-pool, and the American bar,"" p. 43.",true
Il mio viaggio in Oriente nell'Autunno dell'anno 1885.,"A basic account of Alexandria, Cairo, and Ismailia.",false
"illustrations, maps and introductory letter from F.","On an around-the- world trip, Gordon visited Suez, Cairo, and Luxor. ""Ruins, and a marshy lakelet amid palms, now mark the site of ancient Memphis. 'Sic transit gloria mundi,' "" p. 297. Full of quotations from poems regarding Egypt. Illustrated with photo- graphs.",false
In Cairo and Jerusalem An eastern note-book.,"A chatty, informal account, with a long description of Cairo. In addition to her trip to the Pyramids and Sphinx, Heliopolis and Saqqara, Carpenter made a side trip to the oasis of the Fayyum ("". . . it was from a casual remark made at a Cairo dinner that we went a-wandering to the Fayum's ancient patch of green oasis,"" p. 62). Carpenter continued on to the Holy Land. Illustrated with photographs.",true
In Cairo.,"A pleasant little remembrance of life in Cairo. Not much to it, but FuUerton's account makes for enjoyable reading. ""For every one makes Cairo the point of vantage; and the mingling of Oriental dainties called by that name in the menu of the nations is for a time the most indigestible dish in the world,"" p. 3.",true
Round the globe in old and new paths.,"On an around-the-world trip, M'CoUester visited Suez, Cairo and Alexandria. M'CoUester had visited before in 1879(7). Illustrated with photographs.",true
In pastures new.,"Ade, a humorist and playwright, gives a very humorous account of an American’s adventures in Egypt. Full of stories about his fellow travelers (“By the way, when a pious Englishman over here, say a bishop on vacation, wishes to relieve his feeling without the actual use of profanity he exclaims ‘Assouan!’ . . . ‘Assouan’ means the superlative of all dams ... it takes the place of a whole row of these -,” p. 155.). Ade visits Cairo, the Pyramids and Sphinx and sails up the Nile through Luxor to Aswan. Includes some very funny illustrations. Pages 135-309 are devoted to Egypt.",true
"In the shadow of Sinai, a story of travel and research from 1895 to 1897.","A brief mention of Cairo, before Lewis continues on to the Sinai for almost two years. Illustrated with photographs.",true
In the track of the sun; readings from the diary of a globe trotter.,"On an around-the-world trip, Thompson visited Suez, Cairo, Alexandria and the Nile to Aswan and Wadi Haifa. Basic account. Illustrated by Harry Fenn; also photographs.",true
In the track of the sun; readings from the diary of a globe trotter.,"On an around-the-world trip, Thompson visited Suez, Cairo, Alexandria and the Nile to Aswan and Wadi Haifa. Basic account. Illustrated by Harry Fenn; also photographs.",true
It tickled him; around the world with George Hoyt Allen.,"""I didn't know as there is anything particularly new and exciting to write about those pyramids, but I will say that they have held their own amazingly well,"" p. 122. A flippant little account of Allen's trip around the world, with a brief stop in Egypt. His account first appeared as letters in the magazine La Follette's. Illustrated with photographs.",true
"Itineraire descriptif, historique et archeologique de I’Orient",CITED IN HILMY.,false
Jerusalem; Egypt: Palestine: Syria.,"""Some years ago, when engaged in missionary work in Montana, the Lord made it known to me that some say I should visit the actual places in Egypt and Palestine, not as a mere sightseer, but in the interests of His work and Kingdom,"" p. 13. Contrary to this stated goal. White saw all the sights of Cairo, including the Pyramids and Sphinx, but not much missionary work.",false
John Bullsur le Nil. Croquis de V occupation anglaise (1885).,No info. CITED IN WILBOUR.,false
"Johnson’s journey around the world Fifty thousand miles of travel, from the Golden Gate to the Golden Gate.","On an around-the-world trip, Johnson makes a visit to Egypt, and gives only a very brief account of his trip from Alexandria up the Nile to Aswan. Not very interested or impressed with Egypt. Illustrated.",false
Joining the Navy; or Abroad with Uncle Sam.,A brief account of Port Said and the Suez Canal as Paynter goes on an around-the-world trip. Illustrated.,true
New Judea: Jewish life in modern Palestine and Egypt.,"Visiting Alexandria, Cairo, and the Pyramids before going off to the Holy Land, Gordon was exploring the Jewish presence in the Middle East. In addition to seeing all the usual sights, he visited Hebrew Schools in Cairo and commented on the political and economic condition of Jews in Egypt. Interesting account of Jewish hfe in turn-of-the-century Egypt. Illustrated with photographs.",true
Journal letters from Egypt and Jerusalem.,"Miss Edwards and an unnamed niece (perhaps a Miss Mounsey) travel up the Nile as far as Aswan in high Victorian style, visiting Cairo, Memphis, Luxor, Aswan, before bearing off to Jerusalem. To pass the time, their party tries to make good use of their free time: ""Miss Mounsey and I have been trying to draw up a Bible-lesson from Palm-trees,"" p. 13. The book was sold for one shilling for the benefit of the Missionary School at Bethlehem.",false
Journeying round the world; a narrative of personal experience.,"Breezy, brief little account of Cairo and Port Said visited on an around-the-world trip.",true
